Years of education,Mean income (thousands),Educational level
0,98.75,None
6,71.52,Primary 
9,59.90,Junior secondary
12,82.85,Senior secondary / Diploma
15,118.54,Nursing school
16,200.76,Bachelor
18,386.83,Masters
21,461.20,Doctorate
