Name,Gross Export,Code,Sector,Share
"Musical instruments, string",2104.0,9202,Machinery,0.000003167043967585282%
"Other musical instruments, n.e.c.",1974.0,9208,Machinery,0.000002971361593162237%
Travel sets,1790.0,9605,Machinery,0.000002694395770901927%
Bookbinding machinery,1582.0,8440,Machinery,0.000002381303971825055%
"Frames for spectacles, goggles",1495.0,9003,Machinery,0.000002250347305865017%
Watch straps,1286.0,9113,Machinery,0.000001935750257754122%
Automatic goods-vending machines,927.0,8476,Machinery,0.0000013953658545397131%
Cigarette lighters,826.0,9613,Machinery,0.0000012433357021033473%
Machinery for preparing tobacco,532.0,8478,Machinery,8.00792486100461e-7%
"Transmission apparatus for radio, telephone and TV",5536466.0,8525,Electronics,0.008333760098403524%
Batteries,4478893.0,8507,Electronics,0.006741849361744271%
Electronic integrated circuits,4139238.0,8542,Electronics,0.006230584001093045%
Primary cells and primary batteries,2465837.0,8506,Electronics,0.0037116987623092147%
Telephones,2372990.0,8517,Electronics,0.0035719409052472426%
Waste and scrap of batteries,2113835.0,8548,Electronics,0.0031818480918349022%
Electrical transformers,1260192.0,8504,Electronics,0.0018969027906840454%
Electronic printed circuits,949485.0,8534,Electronics,0.0014292113790697297%
Video recording apparatus,838362.0,8521,Electronics,0.0012619435906619449%
Electric motors and generators,710243.0,8501,Electronics,0.001069092589671898%
Radar,613740.0,8526,Electronics,0.0009238315421415356%
Parts for electrical apparatus,569271.0,8538,Electronics,0.000856894622847548%
Electrical boards,419625.0,8537,Electronics,0.0006316401259020788%
Monitors and projectors,410241.0,8528,Electronics,0.000617514868966803%
Electrical ignition equipment,375184.0,8511,Electronics,0.0005647453535810439%
Electrical apparatus for < 1k volts,344377.0,8536,Electronics,0.0005183731465898844%
Electric generating sets and rotary converters,343990.0,8502,Electronics,0.0005177906152137172%
Electrical machines with individual functions n.e.c.,303711.0,8543,Electronics,0.0004571606893722878%
Electric sound or visual signaling apparatus,275397.0,8531,Electronics,0.00041454106822294865%
Sound storage media,204656.0,8523,Electronics,0.00030805824630709765%
"Parts of radios, telephones, and T.V.s",188675.0,8529,Electronics,0.00028400286149436933%
Electrical lighting equipment used for motor vehicles,174176.0,8512,Electronics,0.0002621782557500637%
Electrical filament,173191.0,8539,Electronics,0.00026069558545155065%
Insulated electrical wire,171320.0,8544,Electronics,0.0002578792645088928%
Industrial electric furnaces,90894.0,8514,Electronics,0.000136818105698525%
Semiconductor devices,65567.0,8541,Electronics,0.00009869466341381377%
Insulating fittings for electrical machines,62381.0,8547,Electronics,0.00009389893999141514%
Microphones,57080.0,8518,Electronics,0.00008591961486205698%
Electric soldering machines,55884.0,8515,Electronics,0.00008411933701736497%
Electrical insulators of any material,35406.0,8546,Electronics,0.00005329484729863331%
Portable electric lamps,28099.0,8513,Electronics,0.000042295992607024164%
Electric heaters,25516.0,8516,Electronics,0.00003840793435214166%
Reception apparatus for radio broadcasting,25032.0,8527,Electronics,0.00003767939381967432%
Vacuum cleaners,24892.0,8508,Electronics,0.000037468658954911044%
Carbon articles for eletrical purposes,18411.0,8545,Electronics,0.00002771313996540524%
Electrical apparatus for > 1k volts,8547.0,8535,Electronics,0.000012865363493798195%
Parts for use with electric generators,8247.0,8503,Electronics,0.000012413788783591167%
Sound reproducing apparatus,6504.0,8519,Electronics,0.000009790139717288343%
Electromechanical domestic appliances,5653.0,8509,Electronics,0.00000850917278933441%
"Tapes, cassettes, records and compact disks",2290.0,8524,Electronics,0.0000034470202879136383%
Electrical resistors,1821.0,8533,Electronics,0.000002741058490956653%
Parts and accessories for video or sound equipment,1604.0,8522,Electronics,0.0000024144194505735702%
Electromagnets,1011.0,8505,Electronics,0.0000015218067733976806%
"Thermionic, cold cathode or photocathode tubes",747.0,8540,Electronics,0.0000011244210284154968%
